url,playlistName,saves,playlistOwnerProfile,playlistOwner
https://open.spotify.com/playlist/7klJXYRH4h4pwNjfatEXbb,Old R&B Love❤️,"7,674 saves",https://open.spotify.com/user/12100653000,Kellanie Nembhard
https://open.spotify.com/playlist/3e96Aq99SY8OTK3eO6PUzA,Broadway Greatest Hits,"8,156 saves",https://open.spotify.com/user/smerfogel,smerfogel
https://open.spotify.com/playlist/1B8yhrmdiRSA6djCQZhIaN,Old but Gold (Music of the Past),"42,366 saves",https://open.spotify.com/user/31y3lzhzq52yxet6kad343emyo6i,Jasper Marquez
https://open.spotify.com/playlist/3NP0xGr6G3ah05np9ZslEg,90’s - 2000’s throwbacks 🦋,"117,507 saves""url,playlistName,saves
https://open.spotify.com/playlist/4h9dvquufDVDyGuYRHeu73,2000 R&B Hits - Top R&B 2000s Songs (R&B 00s Popular Songs),""226,151 saves",https://open.spotify.com/user/vazquezmichelle0012,shelllsss
https://open.spotify.com/playlist/3a9yodm1vqcU6JULLBeZeA,RnB 2000s (greatest hits),"42,848 saves",https://open.spotify.com/user/rich-spanning-time,Rich-Spanning-Time
https://open.spotify.com/playlist/13YDWMOgGy2xUwhEDxc9NE,RnB 90s-00s - Old School RnB,"254,747 saves",https://open.spotify.com/user/0hzl2lhqimijoy7ry8t3brf74,Pavle's Playlist Trading
https://open.spotify.com/playlist/23zl0zrUmrPp0YcoDufurq,songs that awaken the inner stripper,"30,061 saves",https://open.spotify.com/user/11145526627,caitlinvst
https://open.spotify.com/playlist/008G1BbvK1NQvbAV8MHvDz,Pop Hits 2000s - throwback vibes,"315,205 saves",https://open.spotify.com/user/biels09,Stormy Chocada
https://open.spotify.com/playlist/37i9dQZF1DWTUHzPOW6Jl7,Energy Booster: R&B,"641,210 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/52uT9ax72xlZ6mztpkLmEJ,2000s throwbacks ⋆☆ y2k party,"19,147 saves",https://open.spotify.com/user/1270212500,@ashleyjohnsonn
https://open.spotify.com/playlist/37i9dQZF1DX2hNQN2Fv6Cy,R&B Classics Party,"111,251 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/06PTJoM1hz9o3UqHDZUVzr,Músicas pra fuder gostoso 🔥,"103,484 saves",https://open.spotify.com/user/gabrielsuguimart3,Gabriel Martini
https://open.spotify.com/playlist/1tipqis4QtnYOHwu6Fj4hF,"The sluttiest, most attractive songs😛✌️","53,413 saves",https://open.spotify.com/user/31sb2tpbukn3lbgehvx24bf6iwlq,Aeva
https://open.spotify.com/playlist/119RwhTmhNelp6IqJpt0K4,Non-Stop-Pop FM (GTAV),"282,174 saves",https://open.spotify.com/user/rockstargames,Rockstar Games
https://open.spotify.com/playlist/7kPPwcLvMqJT9iaVG8z2bv,2000s R&B & Hip-Hop Playlist,"285,168 saves",https://open.spotify.com/user/ricoo97,Miranda Sullivan
https://open.spotify.com/playlist/5aymXYoCeoJmHskS8ePUL3,TikTok Philippines 2024 Sept🐥Tiktok Dance Challenge,"18,324 saves",https://open.spotify.com/user/313l5lmpnwqwtfbt2flq4vllmt3y,Seth Beat's
https://open.spotify.com/playlist/1krayF0y1dJhfLaGm0jHww,hot main character energy,"16,288 saves",https://open.spotify.com/user/omse0vqmugdzuo2c39rrommzd,funda
https://open.spotify.com/playlist/37i9dQZF1DWWWvWJNPeyJE,Sexy R&B,"313,656 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/37i9dQZF1DWXeOurMWUII5,2000er Hits,"778,568 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/37i9dQZF1DXch2nNxu927l,Suprême R&B,"340,977 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/2nzVCXza1cHdl0jk7vmdNQ,tiktok music - tiktok hits 2024,"106,565 saves",https://open.spotify.com/user/62wzf85cq4gbj86et0m44dn0l,silva
https://open.spotify.com/playlist/37i9dQZF1DWTUoU0bd0p84,Summer Hits of the 00s,"384,664 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/2bURuPW4aE7OjrS3ih9w8x,R&B Clean - Safe for Work,"5,419 saves",https://open.spotify.com/user/fl6foifgjgszu1glioo0jsp9o,Team
https://open.spotify.com/playlist/4IGhC3VvBbVUy57QAgS5As,Alexandra's Summer 🌸 🎀,"69,413 saves",https://open.spotify.com/user/31bvjgernqjojravrwnntshubxqq,Alexandra Saint Mleux
https://open.spotify.com/playlist/2gBuhayXaz9571xijZe3A9,GTA V BANGERS,"33,968 saves",https://open.spotify.com/user/pravgill1,pravgill1
https://open.spotify.com/playlist/4GZT3MbZ4IwjtIxKuYerfu,,"280,017 saves",,undefined
